ticket_number,department,location,category,priority,power_indicator,remote_no_response,compressor_no_sound,cooling_low,ac_water_leak,projector_no_display,lamp_led,lamp_hours,router_led,multiple_users_affected,single_user_affected,socket_tested_ok,lighting_flicker,recently_installed,noise,vibration,severity,previous_incidents,resolution_time,escalated,assigned_staff
TKT-1034,Biotechnology,Biotechnology Building - Room 378,AC_POWER,HIGH,off,False,True,True,False,False,blinking,2310.0,on,True,False,True,False,False,False,True,1.0,3.0,29.0,1,4
TKT-1035,CSE,CSE Building - Room 159,WIFI_NO_CONNECTIVITY,MEDIUM,,True,True,False,False,False,on,3919.0,off,False,True,False,True,False,True,True,1.0,4.0,52.0,1,1
TKT-1036,EEE,EEE Building - Room 401,ROUTER_POWER,MEDIUM,on,False,True,False,False,False,on,2760.0,off,False,False,True,True,False,True,False,1.0,5.0,26.0,0,6
TKT-1037,ECE,ECE Building - Room 119,CLASSROOM_FAN,MEDIUM,,False,True,False,True,False,off,3459.0,on,False,True,True,False,False,False,False,1.0,5.0,42.0,0,4
TKT-1038,Biotechnology,Biotechnology Building - Room 136,AC_COOLING,HIGH,on,False,True,True,False,True,blinking,,on,False,True,False,True,True,False,True,3.0,5.0,43.0,1,4
TKT-1039,Biotechnology,Biotechnology Building - Room 188,PROJECTOR_LAMP,CRITICAL,on,True,False,True,False,True,off,2388.0,off,False,False,True,False,False,True,True,4.0,5.0,61.0,1,3
TKT-1040,Mechanical,Mechanical Building - Room 202,ROUTER_POWER,LOW,off,False,True,True,False,False,blinking,1711.0,off,True,False,False,True,True,False,False,2.0,5.0,41.0,0,6
TKT-1041,ECE,ECE Building - Room 121,AC_NOISE,CRITICAL,off,False,True,False,True,True,on,,off,True,True,True,False,False,True,False,4.0,4.0,31.0,0,2
TKT-1042,ECE,ECE Building - Room 386,LIGHTING_FLICKER,HIGH,off,True,False,True,False,True,on,2009.0,off,False,False,True,True,False,True,False,5.0,,31.0,0,3
TKT-1043,Mechanical,Mechanical Building - Room 172,AC_NOISE,CRITICAL,on,True,False,False,True,True,off,,on,False,False,False,False,True,False,True,4.0,6.0,41.0,1,4
TKT-1044,Mechanical,Mechanical Building - Room 286,WIFI_NO_CONNECTIVITY,LOW,on,False,False,True,False,False,off,4465.0,,False,True,True,True,True,False,True,,3.0,37.0,0,5
TKT-1045,ECE,ECE Building - Room 269,WIFI_NO_CONNECTIVITY,MEDIUM,on,True,False,True,True,False,off,950.0,on,True,True,False,True,False,True,True,3.0,0.0,35.0,0,6
TKT-1046,CSE,CSE Building - Room 330,CLASSROOM_FAN,MEDIUM,off,True,False,True,True,False,on,3135.0,,True,False,False,False,True,False,False,1.0,,6.0,0,3
TKT-1047,Biotechnology,Biotechnology Building - Room 381,EQUIPMENT_OVERHEATING,HIGH,on,False,False,False,False,False,off,3748.0,on,True,False,False,True,False,False,False,4.0,,53.0,1,3
TKT-1048,EEE,EEE Building - Room 343,PROJECTOR_DISPLAY,MEDIUM,on,True,True,True,False,True,blinking,3526.0,off,True,True,False,True,False,False,False,1.0,4.0,64.0,1,2
TKT-1049,ECE,ECE Building - Room 215,CLASSROOM_FAN,LOW,on,False,False,True,False,True,on,3961.0,on,False,True,True,False,False,False,False,,,27.0,0,2
TKT-1050,CSE,CSE Building - Room 372,AC_WATER_LEAK,CRITICAL,,False,False,False,False,True,on,1776.0,off,True,True,True,True,True,True,False,4.0,6.0,46.0,1,2
TKT-1051,Biotechnology,Biotechnology Building - Room 277,AC_NOISE,MEDIUM,,True,False,False,False,True,off,2118.0,,True,True,False,True,True,False,False,3.0,1.0,29.0,0,2
TKT-1052,Mechanical,Mechanical Building - Room 218,NETWORK_SLOW,LOW,,False,True,False,True,False,off,2383.0,,False,False,False,False,False,True,False,1.0,5.0,41.0,0,6
TKT-1053,EEE,EEE Building - Room 324,AC_WATER_LEAK,MEDIUM,,True,False,False,True,False,on,3554.0,off,True,False,True,True,True,True,False,,2.0,18.0,0,2
TKT-1054,Biotechnology,Biotechnology Building - Room 139,PROJECTOR_DISPLAY,HIGH,on,False,False,False,False,False,off,2301.0,on,False,False,False,False,True,False,True,3.0,7.0,61.0,1,3
TKT-1055,CSE,CSE Building - Room 405,AC_WATER_LEAK,MEDIUM,,False,False,True,False,True,on,2978.0,,True,True,False,True,False,True,True,1.0,3.0,35.0,0,5
TKT-1056,ECE,ECE Building - Room 291,LAB_EQUIPMENT_INTERNAL,CRITICAL,off,False,False,False,True,False,off,1850.0,on,False,False,False,True,False,True,True,3.0,4.0,59.0,1,3
TKT-1057,Biotechnology,Biotechnology Building - Room 269,LIGHTING_FLICKER,MEDIUM,on,True,False,False,True,False,on,,on,False,False,True,True,True,True,True,3.0,1.0,41.0,0,5
TKT-1058,Mechanical,Mechanical Building - Room 184,PROJECTOR_DISPLAY,MEDIUM,,True,False,True,False,False,blinking,3447.0,on,False,False,False,True,True,False,False,2.0,5.0,20.0,0,4
TKT-1059,Biotechnology,Biotechnology Building - Room 315,CLASSROOM_SOCKET,HIGH,on,True,True,False,True,False,on,,on,True,False,True,True,False,False,True,4.0,1.0,24.0,0,4
TKT-1060,CSE,CSE Building - Room 358,LIGHTING_FLICKER,HIGH,off,True,False,True,False,True,off,1805.0,,False,True,True,True,False,False,True,4.0,7.0,3.0,0,2
TKT-1061,ECE,ECE Building - Room 371,NETWORK_SLOW,MEDIUM,,True,False,True,False,True,off,1476.0,,False,True,True,False,True,True,True,3.0,6.0,17.0,0,4
TKT-1062,ECE,ECE Building - Room 369,AC_WATER_LEAK,HIGH,off,True,True,False,False,True,blinking,2084.0,off,False,True,False,True,False,True,True,5.0,5.0,56.0,1,6
TKT-1063,ECE,ECE Building - Room 346,CLASSROOM_POWER,CRITICAL,on,True,True,True,False,True,on,1325.0,on,True,True,False,False,False,False,False,1.0,,35.0,1,3
TKT-1064,EEE,EEE Building - Room 289,AC_NOISE,CRITICAL,off,False,False,False,False,True,on,3334.0,off,False,False,True,False,True,False,True,5.0,4.0,53.0,1,3
TKT-1065,EEE,EEE Building - Room 409,CLASSROOM_POWER,CRITICAL,on,False,True,False,False,False,off,3477.0,off,False,False,True,True,False,False,True,1.0,2.0,23.0,1,6
TKT-1066,EEE,EEE Building - Room 297,LAB_EQUIPMENT_INTERNAL,CRITICAL,on,True,True,False,False,False,on,3625.0,on,True,False,False,False,False,True,True,,2.0,50.0,1,3
TKT-1067,EEE,EEE Building - Room 210,CLASSROOM_POWER,CRITICAL,on,False,False,True,True,True,off,,on,False,True,False,False,True,False,False,2.0,2.0,9.0,0,2
TKT-1068,ECE,ECE Building - Room 114,CLASSROOM_FAN,CRITICAL,off,False,False,True,True,True,on,2130.0,off,False,False,True,True,False,True,False,4.0,8.0,67.0,1,5
TKT-1069,ECE,ECE Building - Room 322,PROJECTOR_DISPLAY,MEDIUM,on,True,True,True,False,True,off,,on,False,False,True,False,True,False,True,,8.0,12.0,0,5
TKT-1070,ECE,ECE Building - Room 410,PROJECTOR_LAMP,HIGH,off,True,True,True,True,False,blinking,1363.0,off,True,False,False,False,False,True,False,3.0,7.0,36.0,1,4
TKT-1071,Mechanical,Mechanical Building - Room 205,CLASSROOM_POWER,HIGH,off,True,False,False,False,False,off,3615.0,off,True,False,True,False,True,False,False,2.0,2.0,55.0,1,4
TKT-1072,ECE,ECE Building - Room 268,PROJECTOR_LAMP,HIGH,on,False,True,True,False,False,on,4100.0,,False,True,True,False,False,True,True,5.0,5.0,62.0,1,6
TKT-1073,Mechanical,Mechanical Building - Room 375,ROUTER_POWER,CRITICAL,on,True,False,True,False,False,on,,,False,True,True,False,False,True,False,,7.0,41.0,0,5
TKT-1074,CSE,CSE Building - Room 150,PROJECTOR_DISPLAY,LOW,off,False,False,False,True,True,blinking,2585.0,off,True,True,True,True,False,False,False,2.0,8.0,61.0,1,2
TKT-1075,Mechanical,Mechanical Building - Room 254,OTHER_INFRASTRUCTURE,HIGH,on,False,False,False,False,True,on,1856.0,on,False,False,True,False,False,True,True,5.0,7.0,77.0,1,4
TKT-1076,ECE,ECE Building - Room 117,WIFI_NO_CONNECTIVITY,CRITICAL,on,True,True,True,False,False,on,1120.0,off,True,False,False,True,True,True,False,4.0,8.0,37.0,1,5
TKT-1077,EEE,EEE Building - Room 282,NETWORK_SLOW,CRITICAL,on,False,False,True,True,False,blinking,1722.0,on,False,False,True,False,False,False,False,5.0,4.0,72.0,1,4
TKT-1078,Mechanical,Mechanical Building - Room 175,LAB_EQUIPMENT_INTERNAL,HIGH,off,True,False,True,False,False,blinking,,off,True,True,False,False,True,True,True,2.0,,18.0,1,4
TKT-1079,EEE,EEE Building - Room 152,CLASSROOM_FAN,LOW,on,True,True,True,False,False,on,3164.0,on,False,False,False,True,True,True,True,2.0,6.0,4.0,0,4
TKT-1080,Mechanical,Mechanical Building - Room 249,PROJECTOR_LAMP,HIGH,on,True,False,True,False,False,on,,off,True,False,False,True,True,False,True,4.0,4.0,58.0,1,3
